apkname,security_score,target_sdk,min_sdk,average_cvss,host_os,virus_total
reface-face-swap-videos-and-memes-with-your-photo_1.11.2.apk,10,30,22,6.5,windows,None
samsung-smart-switch-mobile_3.7.17.4.apk,10,29,14,6.2,windows,None
breaking-news-local-breaking-news-near-you_10.7.0.apk,15,30,17,6.9,windows,None
avg-antivirus-free-mobile-security-photo-vault_6.37.1.apk,10,29,21,6.0,windows,None
free-music-downloader-mp3-music-download_2.1.6.apk,10,29,16,6.8,windows,None
zalando-\xe2\x80\x93-fashion-inspiration-online-shopping_5.3.0.apk,5,29,21,6.2,windows,None
youtube-music-stream-songs-music-videos_4.21.50.apk,10,29,21,6.5,windows,None
db-navigator_21.04.p03.00.apk,10,29,21,6.5,windows,None
wish-shopping-made-fun_4.47.5.apk,10,29,21,6.3,windows,None
memory-cleaner-speed-booster-junk-removal_1.0.22.apk,10,29,18,6.5,windows,None
wombo-make-your-selfies-sing_1.3.0.apk,20,29,21,6.5,windows,None
weather-radar-usa-storm-radar-and-alerts_2021.6.1.apk,10,29,23,6.2,windows,None
check24-vergleiche_2021.13.0.apk,10,30,24,6.3,windows,None
tvnow-premium_3.14.4_r10653_45466deec.apk,0,29,21,6.7,windows,None
wiso-steuer-\xe2\x80\x93-steuererkl\xc3\xa4rung-einfach-gemacht_2.05.2.4506.apk,5,30,23,6.4,windows,None
rokkr_1.1.5.apk,15,29,21,6.0,windows,None
web-de-mail-cloud_7.0.4.apk,10,29,23,6.2,windows,None
discord-talk-video-chat-hang-out-with-friends_67.12.apk,10,29,21,6.3,windows,None
instagram_182.0.0.29.124.apk,10,29,23,6.6,windows,None
photo-collage-maker-photo-editor-photo-collage_1.30.96.apk,10,29,19,6.6,windows,None
what3words-never-get-lost-again_4.8.apk,10,29,23,6.5,windows,None
google-earth_9.132.1.1.apk,10,29,21,6.4,windows,None
kaspersky-mobile-antivirus-applock-web-security_11.66.4.5463.apk,10,29,19,6.6,windows,None
mein-dm_2.24.0.apk,10,30,23,6.5,windows,None
video-editor-video-maker-inshot_1.711.1312.apk,10,29,21,6.3,windows,None
snapchat_11.22.0.33.apk,10,29,19,6.5,windows,None
qr-barcode-scanner_2.2.3.apk,70,29,16,6.3,windows,None
google-authenticator_5.10.apk,70,28,19,6.8,windows,None
firefox-browser-fast-private-safe-web-browser_87.0.0-rc.1.apk,10,29,21,6.1,windows,None
signal-private-messenger_5.5.5.apk,5,30,19,6.2,windows,None
facebook-lite_244.0.0.6.117.apk,40,29,26,6.4,windows,None
kaufda-weekly-ads-discounts-local-deals_21.4.3.apk,10,30,21,6.2,windows,None
s-pushtan_3.3.0.apk,60,30,23,6.6,windows,None
idealo-online-shopping-product-price-comparison_18.5.15.apk,10,29,23,6.5,windows,None
capcut_3.1.0.apk,10,29,21,6.2,windows,None
way-in_3.3.1.2.apk,45,29,17,6.4,windows,None
lieferando-de-order-food_7.0.5.apk,5,29,21,6.6,windows,None
immoscout24-house-apartment-search_17.3.1.1029-202103291339.apk,10,30,21,6.4,windows,None
plantnet-plant-identification_3.3.27.apk,15,29,16,6.7,windows,None
scalable-capital-broker-trading-robo-advisor_6.3.1.1.apk,10,29,21,6.4,windows,None
zdfmediathek-live-tv_5.7.apk,35,30,21,6.9,windows,None
infekt-info-fallzahlen-inzidenz-impfungen-im-blick_4.4.apk,25,30,21,6.5,windows,None
mcdonald\xe2\x80\x99s-deutschland-coupons-aktionen_7.2.4.44736.apk,10,29,21,6.6,windows,None
fancy-cleaner-2021-antivirus-booster-cleaner_5.1.5.apk,10,29,19,6.5,windows,None
about-you-online-fashion-shop_6.24.1.apk,10,29,21,6.5,windows,None
disney_1.14.0.apk,10,29,21,6.1,windows,None
lidl-plus_14.35.4.apk,10,30,21,6.2,windows,None
